#Clone = Identifier of Drosophila Gene Collection (DGC) cDNA clone (DGC: http://www.fruitfly.org/DGC/index.html)	
#Fold_change (A/B) = Relative fold-amount of spiked-in clone in sample A compared to sample B	
Clone	Fold_change (A/B)
GH01001	1
GH01039	1
GH01042	3.5
GH01043	1
GH01053	3.5
GH01059	3.5
GH01066	3.5
GH01073	1.7
GH01077	1
GH01083	1
GH01085	1
GH01087	3.5
GH01088	3.5
GH01093	1
GH01107	1
GH01128	1
GH01133	1
GH01149	1
GH01154	1
GH01161	3.5
GH01163	3.5
GH01164	3.5
GH01188	3.5
GH01205	1
GH01206	3.5
GH01208	1
GH01229	3.5
GH01240	3.5
GH01248	3.5
GH01257	3.5
GH01258	1
GH01265	3.5
GH01266	1
GH01278	3.5
GH01279	3.5
GH01304	3.5
GH01314	3.5
GH01326	1
GH01330	3.5
GH01331	3.5
GH01354	3.5
GH01388	1
GH01404	1
GH01406	3.5
GH01409	1
GH01410	1
GH01416	1
GH01429	3.5
GH01453	3.5
GH01464	1
GH01474	1
GH01486	1
GH01501	1
GH01505	1
GH01508	3.5
GH01515	1
GH01517	1
GH01524	1
GH01528	3.5
GH01546	3.5
GH01554	1
GH01562	1
GH01566	1
GH01576	3.5
GH01592	3.5
GH01606	1
GH01616	3.5
GH01619	0.25
GH01626	1
GH01635	3.5
GH01650	1
GH01660	1.7
GH01674	3.5
GH01690	3.5
GH01709	3.5
GH01718	1
GH01721	3.5
GH01724	3.5
GH01729	1
GH01760	3.5
GH01761	1
GH01773	3.5
GH01786	3.5
GH01788	3.5
GH01794	3.5
GH01813	3.5
GH01822	3.5
GH01827	1
GH01837	3.5
GH01839	3.5
GH01842	3.5
GH01875	1
GH01880	1
GH01881	3.5
GH01890	1
GH01918	1.7
GH01922	3.5
GH01923	1
GH01933	0.25
GH01937	3.5
GH01941	3.5
GH01960	3.5
GH01967	3.5
GH01974	1
GH01976	1
GH01984	3.5
GH01987	1
GH01991	0.25
GH02003	1
GH02020	0.25
GH02025	1
GH02029	3.5
GH02075	0.25
GH02089	1
GH02203	1.7
GH02216	3.5
GH02220	1.7
GH02222	1
GH02250	1.7
GH02265	1
GH02288	1.7
GH02310	1
GH02315	3.5
GH02340	1.7
GH02377	1
GH02384	1.7
GH02396	1.7
GH02414	1
GH02419	1.7
GH02424	1
GH02426	1
GH02431	1.7
GH02435	1.7
GH02439	1.7
GH02446	1
GH02452	1
GH02457	1
GH02459	1
GH02466	3.5
GH02471	1
GH02475	1
GH02484	3.5
GH02495	1
GH02505	1.7
GH02536	1.7
GH02581	1
GH02584	1
GH02603	1
GH02614	1
GH02636	1.7
GH02649	1
GH02671	1
GH02677	1
GH02678	1.7
GH02702	1
GH02705	1
GH02708	1
GH02712	1.7
GH02722	3.5
GH02741	3.5
GH02751	1.7
GH02759	1
GH02773	1
GH02816	1
GH02822	3.5
GH02833	1.7
GH02837	3.5
GH02855	1
GH02863	1
GH02866	1
GH02872	1
GH02880	0.25
GH02901	1.7
GH02902	1
GH02912	0.666666666666667
GH02921	1.7
GH02974	1.7
GH02976	1.7
GH02982	3.5
GH02984	1
GH02989	1
GH02992	1
GH03003	3.5
GH03013	1
GH03014	1
GH03016	1.7
GH03029	1
GH03046	1
GH03051	1
GH03057	1
GH03058	1
GH03065	1
GH03085	1
GH03106	1
GH03108	1.7
GH03109	1
GH03113	1
GH03118	1
GH03119	1
GH03163	1.7
GH03186	1.7
GH03188	1
GH03217	1
GH03227	1
GH03263	3.5
GH03273	1
GH03275	3.5
GH03305	1
GH03311	0.666666666666667
GH03315	1
GH03360	1
GH03377	1.7
GH03388	0.666666666666667
GH03394	0.666666666666667
GH03475	1
GH03482	1.7
GH03502	1.7
GH03511	1
GH03514	0.666666666666667
GH03529	1.7
GH03554	1
GH03557	1
GH03570	1
GH03573	1
GH03577	1
GH03581	3.5
GH03582	0.25
GH03607	0.666666666666667
GH03617	1
GH03623	1
GH03629	3.5
GH03649	3.5
GH03683	1.7
GH03685	0.666666666666667
GH03691	1
GH03693	1.7
GH03694	1.7
GH03720	1
GH03731	1
GH03748	1
GH03753	1
GH03773	3.5
GH03781	1
GH03795	1
GH03826	1
GH03827	1
GH03851	1
GH03852	1
GH03873	1
GH03876	0.666666666666667
GH03922	1.7
GH03927	1
GH03937	1.7
GH03947	1
GH03957	1
GH03958	1
GH03980	1
GH04007	1
GH04024	1
GH04025	1
GH04031	1
GH04034	1
GH04039	1
GH04046	1
GH04054	1
GH04057	3.5
GH04071	1
GH04075	1
GH04080	1
GH04113	1
GH04120	1.7
GH04125	1
GH04176	0.666666666666667
GH04191	1
GH04194	0.666666666666667
GH04201	1
GH04205	1
GH04232	0.666666666666667
GH04236	0.25
GH04238	1
GH04243	1
GH04269	1
GH04281	1
GH04404	1
GH04413	1.7
GH04419	1
GH04440	1
GH04442	1
GH04443	0.666666666666667
GH04473	0.25
GH04518	1
GH04538	1
GH04548	1
GH04557	1
GH04560	1
GH04568	1
GH04589	1
GH04611	1
GH04632	0.666666666666667
GH04637	1.7
GH04653	1
GH04664	1
GH04666	1.7
GH04680	1
GH04687	0.666666666666667
GH04692	3.5
GH04704	0.666666666666667
GH04717	1
GH04731	0.666666666666667
GH04732	0.666666666666667
GH04745	3.5
GH04753	1.7
GH04763	1
GH04802	1.7
GH04818	0.666666666666667
GH04826	0.666666666666667
GH04831	3.5
GH04835	1
GH04846	1
GH04850	3.5
GH04863	1
GH04870	3.5
GH04877	1
GH04896	3.5
GH04905	0.666666666666667
GH04919	1
GH04922	1.7
GH04929	1.7
GH04942	1
GH04950	3.5
GH04962	1.7
GH04968	1
GH04973	1
GH04978	1.7
GH04989	1
GH05039	1
GH05057	0.666666666666667
GH05059	1
GH05088	3.5
GH05093	1
GH05095	1.7
GH05108	3.5
GH05150	1.7
GH05218	0.666666666666667
GH05223	3.5
GH05248	1
GH05272	1
GH05289	1
GH05294	3.5
GH05320	1.7
GH05321	1
GH05358	3.5
GH05377	1
GH05406	1
GH05422	0.666666666666667
GH05433	0.666666666666667
GH05443	0.666666666666667
GH05455	1
GH05505	1
GH05536	1.7
GH05558	1
GH05563	1
GH05565	1
GH05567	0.666666666666667
GH05569	3.5
GH05582	1
GH05607	1
GH05615	1
GH05619	1
GH05625	3.5
GH05665	1
GH05668	1
GH05679	1
GH05702	1
GH05710	3.5
GH05723	0.666666666666667
GH05725	3.5
GH05731	3.5
GH05739	1
GH05741	1
GH05754	0.666666666666667
GH05757	1
GH05767	1
GH05783	1
GH05807	1
GH05812	1
GH05823	1
GH05829	1
GH05836	0.666666666666667
GH05842	3.5
GH05862	0.666666666666667
GH05885	1
GH05895	1
GH05908	0.666666666666667
GH05918	0.666666666666667
GH05922	1
GH05923	1
GH05933	3.5
GH05942	0.666666666666667
GH05946	1
GH05949	0.666666666666667
GH05975	0.666666666666667
GH05991	1
GH05993	1
GH05994	1
GH06023	1
GH06026	1
GH06032	1
GH06048	1
GH06154	1
GH06180	1
GH06193	1
GH06222	1
GH06227	0.666666666666667
GH06230	0.666666666666667
GH06235	1
GH06241	0.666666666666667
GH06247	0.666666666666667
GH06265	1
GH06271	0.666666666666667
GH06282	1
GH06302	1
GH06306	1
GH06335	0.666666666666667
GH06338	1
GH06343	1
GH06348	1
GH06351	0.666666666666667
GH06357	1
GH06385	3.5
GH06387	0.666666666666667
GH06388	3.5
GH06403	0.666666666666667
GH06422	1
GH06435	1
GH06451	1
GH06471	0.666666666666667
GH06474	3.5
GH06479	1
GH06537	1
GH06546	0.666666666666667
GH06573	1
GH06596	3.5
GH06606	1
GH06635	0.666666666666667
GH06646	1
GH06663	1
GH06673	1
GH06679	1
GH06691	1
GH06693	0.666666666666667
GH06695	0.666666666666667
GH06717	1
GH06739	1
GH06740	1
GH06744	1
GH06755	1
GH06759	1
GH06781	1
GH07001	1
GH07007	1
GH07049	1
GH07062	0.666666666666667
GH07066	1
GH07076	1
GH07085	1
GH07092	1
GH07093	3.5
GH07105	1
GH07145	3.5
GH07148	1
GH07181	1
GH07188	1
GH07209	1
GH07217	1
GH07238	1
GH07253	0.666666666666667
GH07269	1
GH07283	1
GH07286	0.666666666666667
GH07290	1
GH07296	0.25
GH07301	0.666666666666667
GH07312	1
GH07317	1
GH07323	1
GH07331	3.5
GH07338	0.666666666666667
GH07340	0.666666666666667
GH07346	1
GH07353	1
GH07367	3.5
GH07373	1
GH07383	0.666666666666667
GH07384	3.5
GH07387	1
GH07389	1
GH07390	1
GH07418	0.25
GH07425	1
GH07444	0.666666666666667
GH07453	0.666666666666667
GH07456	1
GH07464	3.5
GH07466	1
GH07469	1
GH07481	1
GH07485	1
GH07491	1
GH07529	1
GH07572	1
GH07575	3.5
GH07590	1
GH07619	0.666666666666667
GH07623	1
GH07626	1
GH07636	1
GH07643	1
GH07688	1
GH07689	0.666666666666667
GH07691	0.25
GH07729	3.5
GH07742	1
GH07743	0.25
GH07762	1.7
GH07774	1
GH07782	0.666666666666667
GH07785	0.25
GH07792	0.666666666666667
GH07804	1
GH07816	1
GH07821	1
GH07822	1
GH07831	1
GH07841	1
GH07855	1
GH07879	3.5
GH07892	1
GH07902	1
GH07905	3.5
GH07910	1
GH07914	0.25
GH07919	1
GH07921	1
GH07925	0.666666666666667
GH07929	0.666666666666667
GH07940	3.5
GH07949	1
GH07959	1
GH07964	1
GH07966	3.5
GH07967	3.5
GH07971	3.5
GH07976	1
GH08002	1
GH08043	1
GH08045	0.666666666666667
GH08048	1
GH08073	0.666666666666667
GH08116	0.666666666666667
GH08125	3.5
GH08155	1
GH08163	1
GH08175	1
GH08190	1
GH08192	1
GH08193	3.5
GH08205	1
GH08220	1
GH08269	1
GH08303	1
GH08307	1
GH08308	1
GH08311	1
GH08312	1
GH08318	1
GH08338	0.666666666666667
GH08340	1
GH08349	0.666666666666667
GH08353	1
GH08370	1
GH08377	0.25
GH08385	1
GH08387	1
GH08388	1
GH08407	1
GH08420	1
GH08425	1
GH08429	0.666666666666667
GH08447	1
GH08448	3.5
GH08468	1
GH08474	0.666666666666667
GH08511	1
GH08526	0.666666666666667
GH08548	1
GH08582	1
GH08607	1
GH08610	1
GH08630	1
GH08636	1
GH08670	0.666666666666667
GH08677	1
GH08684	3.5
GH08693	0.25
GH08705	1
GH08706	1
GH08712	0.666666666666667
GH08719	1
GH08760	3.5
GH08773	1
GH08776	1
GH08782	1
GH08783	0.666666666666667
GH08789	1
GH08833	1
GH08847	1
GH08848	0.666666666666667
GH08860	1
GH08865	1
GH08867	3.5
GH08870	1
GH08880	1
GH08887	1
GH08893	0.25
GH08894	1
GH08896	1
GH08902	1
GH08916	1
GH08923	1
GH08925	1
GH08937	3.5
GH08941	1
GH08948	1
GH08974	1
GH08991	0.666666666666667
GH09006	1
GH09035	1
GH09040	3.5
GH09045	1
GH09052	1
GH09064	0.666666666666667
GH09066	1
GH09086	0.666666666666667
GH09088	1
GH09096	1
GH09112	3.5
GH09123	1
GH09147	1
GH09153	1
GH09161	3.5
GH09173	1
GH09175	3.5
GH09231	1
GH09240	1
GH09241	1
GH09250	0.666666666666667
GH09258	1
GH09263	0.666666666666667
GH09271	1
GH09289	1
GH09291	1
GH09295	0.666666666666667
GH09296	3.5
GH09317	1
GH09323	1
GH09326	1
GH09333	1
GH09339	0.666666666666667
GH09355	1
GH09358	1
GH09360	0.666666666666667
GH09380	1
GH09383	0.666666666666667
GH09387	1
GH09390	0.666666666666667
GH09410	1
GH09427	0.666666666666667
GH09429	1
GH09436	1
GH09439	0.666666666666667
GH09468	0.666666666666667
GH09478	1.7
GH09478	3.5
GH09510	1
GH09538	1
GH09541	3.5
GH09573	0.666666666666667
GH09594	0.666666666666667
GH09618	1
GH09619	0.666666666666667
GH09623	0.666666666666667
GH09628	0.666666666666667
GH09630	1
GH09638	1
GH09647	1
GH09650	1
GH09663	1
GH09688	0.666666666666667
GH09688	1.7
GH09711	1
GH09754	3.5
GH09755	0.666666666666667
GH09761	1
GH09771	1
GH09791	3.5
GH09808	1
GH09810	1
GH09817	1
GH09825	1
GH09832	1
GH09840	1
GH09844	1
GH09856	1
GH09868	1
GH09870	1
GH09876	1
GH09884	1
GH09945	1
GH09946	3.5
GH09958	1
GH09970	1
GH09976	1
GH09980	1
GH09982	1
GH09983	3.5
GH10002	1
GH10029	1
GH10050	1
