probesetId	value	expr
1616608_a_at	0	empty
1622892_s_at	MC	MC
1622893_at	0.25	low
1622894_at	0	empty
1622895_at	1	normal
1622896_at	3.5	high
1622897_at	0	empty
1622898_a_at	0	empty
1622899_at	0.4	low
1622900_at	0	empty
1622901_at	0	empty
1622902_at	0	empty
1622903_s_at	1	normal
1622904_at	0	empty
1622905_at	0	empty
1622906_at	0	empty
1622907_at	0	empty
1622908_a_at	0.25	low
1622909_at	1	normal
1622910_at	0	empty
1622911_at	0	empty
1622912_at	0	empty
1622913_a_at	1	normal
1622914_at	0	empty
1622915_at	0	empty
1622916_at	0	empty
1622917_a_at	0	empty
1622918_at	0	empty
1622919_at	0	empty
1622920_at	0	empty
1622921_at	0	empty
1622922_at	0	empty
1622923_at	1	normal
1622924_at	0	empty
1622925_at	1	normal
1622926_at	1	normal
1622927_at	0	empty
1622928_at	3.5	high
1622929_at	0	empty
1622930_a_at	0	empty
1622931_at	1	normal
1622932_s_at	0	empty
1622933_at	MC	MC
1622934_at	0	empty
1622935_at	0	empty
1622936_at	0	empty
1622937_at	1	normal
1622938_at	0	empty
1622939_at	3.5	high
1622940_at	0	empty
1622941_at	1	normal
1622942_at	0	empty
1622943_s_at	1	normal
1622944_at	1	normal
1622945_a_at	0	empty
1622946_at	0	empty
1622947_s_at	1	normal
1622948_at	0	empty
1622949_at	1	normal
1622950_a_at	3.5	high
1622951_at	0	empty
1622952_at	0	empty
1622953_at	0	empty
1622954_at	0	empty
1622955_at	0	empty
1622956_at	0	empty
1622957_s_at	0	empty
1622958_at	0	empty
1622959_at	0	empty
1622960_at	0	empty
1622961_at	0	empty
1622962_a_at	0	empty
1622963_at	0	empty
1622964_at	0	empty
1622965_s_at	0	empty
1622966_at	0	empty
1622967_at	0	empty
1622968_at	1	normal
1622969_at	0	empty
1622970_at	1	normal
1622971_at	1	normal
1622972_at	0	empty
1622973_at	0.25	low
1622974_at	1	normal
1622975_at	0	empty
1622976_at	0	empty
1622977_at	0	empty
1622978_at	1	normal
1622979_a_at	1	normal
1622980_at	0	empty
1622981_at	0.4	low
1622982_at	3.5	high
1622983_a_at	1.7	high
1622984_at	1	normal
1622985_at	0	empty
1622986_at	0	empty
1622987_at	0	empty
1622988_at	0	empty
1622989_at	0	empty
1622990_at	0	empty
1622991_s_at	1	normal
1622992_at	1	normal
1622993_at	0	empty
1622994_at	0	empty
1622995_at	0	empty
1622996_at	0	empty
1622997_at	0	empty
1622998_a_at	0	empty
1622999_at	0	empty
1623000_at	0	empty
1623001_at	0	empty
1623002_at	0	empty
1623003_at	0	empty
1623004_a_at	0	empty
1623005_at	0	empty
1623006_at	0	empty
1623007_a_at	0	empty
1623008_at	3.5	high
1623009_at	1	normal
1623010_at	0	empty
1623011_at	0	empty
1623012_at	0	empty
1623013_s_at	0	empty
1623014_at	0	empty
1623015_at	0	empty
1623016_at	0	empty
1623017_at	1	normal
1623018_at	0	empty
1623019_a_at	1	normal
1623020_at	1	normal
1623021_at	0.833333333	low
1623022_at	0.25	low
1623023_at	1	normal
1623024_at	0	empty
1623025_at	0.833333333	low
1623026_a_at	0	empty
1623027_s_at	0.25	low
1623028_at	1	normal
1623029_at	1	normal
1623030_at	0	empty
1623031_a_at	0	empty
1623032_at	0	empty
1623033_at	0	empty
1623034_at	0.666666667	low
1623035_at	0	empty
1623036_a_at	1.7	high
1623037_a_at	1	normal
1623038_at	0	empty
1623039_at	1	normal
1623040_at	0	empty
1623041_at	0	empty
1623042_at	0	empty
1623043_s_at	0	empty
1623044_at	0	empty
1623045_at	1	normal
1623046_at	0	empty
1623047_at	3	high
1623048_a_at	1	normal
1623049_at	0	empty
1623050_at	0	empty
1623051_at	0	empty
1623052_at	0	empty
1623053_a_at	1	normal
1623054_at	0	empty
1623055_at	0	empty
1623056_at	0	empty
1623057_at	0	empty
1623058_at	0.666666667	low
1623059_at	0	empty
1623060_at	0	empty
1623061_at	0.25	low
1623062_at	0	empty
1623063_at	0.666666667	low
1623064_at	0	empty
1623065_at	0	empty
1623066_at	0	empty
1623067_at	0	empty
1623068_at	0	empty
1623069_s_at	1	normal
