Sample_title	Sample	Condition	Labeling	Replicate	Sample_geo_accession	Sample_status	Sample_submission_date	Sample_last_update_date	Sample_type	Sample_channel_count	Sample_source_name_ch1	Sample_organism_ch1	Sample_characteristics_ch1	Sample_molecule_ch1	Sample_extract_protocol_ch1	Sample_label_ch1	Sample_label_protocol_ch1	Sample_taxid_ch1	Sample_hyb_protocol	Sample_scan_protocol	Sample_description	Sample_description	Sample_description	Sample_description	Sample_description	Sample_data_processing	Sample_platform_id	Sample_contact_name	Sample_contact_laboratory	Sample_contact_department	Sample_contact_institute	Sample_contact_address	Sample_contact_city	Sample_contact_state	Sample_contact_zip/postal_code	Sample_contact_country	Sample_supplementary_file	Sample_data_row_count	series_matrix_table_begin	ID_REF
condition A, independent labeling 1, technical replicate alpha	sample1	A	1	alpha	GSM533369	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A1alpha	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533369/GSM533369.cel.gz	0		GSM533369
condition A, independent labeling 1, technical replicate beta	sample2	A	1	beta	GSM533370	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A1beta	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533370/GSM533370.cel.gz	0		GSM533370
condition A, independent labeling 1, technical replicate gamma	sample3	A	1	gamma	GSM533371	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A1gamma	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533371/GSM533371.cel.gz	0		GSM533371
condition A, independent labeling 2, technical replicate alpha	sample4	A	2	alpha	GSM533372	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A2alpha	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533372/GSM533372.cel.gz	0		GSM533372
condition A, independent labeling 2, technical replicate beta	sample5	A	2	beta	GSM533373	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A2beta	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533373/GSM533373.cel.gz	0		GSM533373
condition A, independent labeling 2, technical replicate gamma	sample6	A	2	gamma	GSM533374	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A2gamma	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533374/GSM533374.cel.gz	0		GSM533374
condition A, independent labeling 3, technical replicate alpha	sample7	A	3	alpha	GSM533375	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A3alpha	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533375/GSM533375.cel.gz	0		GSM533375
condition A, independent labeling 3, technical replicate beta	sample8	A	3	beta	GSM533376	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A3beta	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533376/GSM533376.cel.gz	0		GSM533376
condition A, independent labeling 3, technical replicate gamma	sample9	A	3	gamma	GSM533377	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		A3gamma	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533377/GSM533377.cel.gz	0		GSM533377
condition B, independent labeling 1, technical replicate alpha	sample10	B	1	alpha	GSM533378	Public on Apr 15 2010	Apr 14 2010	Apr 14 2010	other	1	spiked-inåÊDrosophila cDNAs	Drosophila melanogaster	cdna clones: Drosophila Gene Collection	other	PCR products from cDNA clones.	biotin	Biotin-labeled cRNAs were generated from each pool using the Ambion MEGAscript kit with T7 or SP6 polymerase.	7227	Roughly 3.9 ë_g cRNA was hybridized to each array following standard Affymetrix protocols.	GeneChips were scanned using the Affymetrix GeneChipå¨ Scanner.	PCR-amplified Drosophila cDNAs spiked in at defined relative concentrations. See 'GSE21344_allclones_fcvalue.txt', which is linked to the Series GSE21344 record as a supplementary file, for the relative amounts of the cDNA clones in samples A and B.		"Conditions ""A"" and ""B"" in the spike-in dataset represent two different biological conditions in real experiments."		B1alpha	Over 40,000 analysis routes were assessed for detecting differentially expressed genes.	GPL1322	Qianqian,,Zhu	Marc S. Halfon	Biochemistry	State University of New York at Buffalo	701 Ellicott St.	Buffalo	NY	14203	USA	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM533nnn/GSM533378/GSM533378.cel.gz	0		GSM533378
